x,y
9.933333333333334014e-01,1.237326973615724274e-01
1.000000000000000000e+00,1.261211806063111118e-01
1.006666666666666821e+00,1.275856235305971309e-01
1.013333333333333419e+00,1.292427367443579334e-01
1.020000000000000018e+00,1.303918977633969634e-01
1.026666666666666838e+00,1.316947506763596343e-01
1.033333333333333437e+00,1.337778129094853719e-01
1.040000000000000036e+00,1.342846032641722698e-01
1.046666666666666634e+00,1.361496337528126099e-01
1.053333333333333455e+00,1.374000472122579586e-01
1.060000000000000053e+00,1.384007671540902484e-01
1.066666666666666652e+00,1.399489987460470763e-01
1.073333333333333472e+00,1.402647067874386311e-01
1.080000000000000071e+00,1.423012226635411992e-01
1.086666666666666670e+00,1.427788841532814101e-01
1.093333333333333490e+00,1.438474618196114718e-01
1.100000000000000089e+00,1.450300974553784261e-01
1.106666666666666687e+00,1.453092804582316322e-01
1.113333333333333508e+00,1.471903052297389158e-01
1.120000000000000107e+00,1.471708852618612284e-01
1.126666666666666705e+00,1.483536739527208659e-01
1.133333333333333304e+00,1.494377991159342445e-01
1.140000000000000124e+00,1.500198913843255322e-01
1.146666666666666723e+00,1.513274566482316619e-01
1.153333333333333321e+00,1.516873009872175271e-01
1.160000000000000142e+00,1.525610689588411673e-01
1.166666666666666741e+00,1.534621821178642209e-01
1.173333333333333339e+00,1.538098856464732711e-01
1.180000000000000160e+00,1.520498599165343301e-01
1.186666666666666758e+00,1.530665522474574103e-01
1.193333333333333357e+00,1.488371644343143285e-01
1.200000000000000178e+00,1.485564114706882932e-01
1.206666666666666776e+00,1.475671122286834336e-01
1.213333333333333375e+00,1.412235274286490483e-01
1.219999999999999973e+00,1.387657249847183139e-01
1.226666666666666794e+00,1.309923437890090081e-01
1.233333333333333393e+00,1.271343644039030774e-01
1.239999999999999991e+00,1.179249540909489136e-01
1.246666666666666812e+00,1.126440030431017231e-01
1.253333333333333410e+00,1.028261512525531496e-01
1.260000000000000009e+00,9.780675670049358839e-02
1.266666666666666829e+00,9.132400683286849563e-02
1.273333333333333428e+00,8.273457540832708512e-02
1.280000000000000027e+00,7.736666067341498032e-02
1.286666666666666847e+00,6.880092741382390353e-02
1.293333333333333446e+00,6.447585923046404710e-02
1.300000000000000044e+00,5.585901378577533966e-02
1.306666666666666643e+00,5.173399391219302840e-02
1.313333333333333464e+00,4.335063761431932894e-02
1.320000000000000062e+00,3.944066264442773473e-02
1.326666666666666661e+00,3.579995229239162774e-02
1.333333333333333481e+00,2.765582922975474284e-02
1.340000000000000080e+00,2.371321240526886448e-02
1.346666666666666679e+00,1.591463508961133214e-02
1.353333333333333499e+00,1.248065724098696046e-02
1.360000000000000098e+00,4.638226014720270643e-03
1.366666666666666696e+00,1.597959008573495571e-03
1.373333333333333517e+00,5.041973732169450009e-03
1.380000000000000115e+00,7.031866810199459070e-03
1.386666666666666714e+00,8.642500519915028573e-03
1.393333333333333313e+00,1.280535832650719040e-02
1.400000000000000133e+00,1.311145569390544281e-02
1.406666666666666732e+00,1.531721923980134195e-02
1.413333333333333330e+00,1.431175803104241945e-02
1.420000000000000151e+00,1.450927713206875448e-02
1.426666666666666750e+00,1.235234457540514141e-02
1.433333333333333348e+00,1.067823024911870172e-02
1.440000000000000169e+00,7.771099374280317738e-03
1.446666666666666767e+00,5.147208787935212207e-03
1.453333333333333366e+00,2.745803711312543374e-03
1.460000000000000187e+00,7.533520612545992591e-04
1.466666666666666785e+00,1.548242982310603323e-03
1.473333333333333384e+00,3.595395178589360675e-03
1.480000000000000204e+00,5.200414789143955469e-03
1.486666666666666803e+00,6.589731314002970040e-03
1.493333333333333401e+00,7.581001531156286895e-03
1.500000000000000000e+00,8.876716388920269027e-03
1.506666666666666821e+00,9.886935778494065560e-03
1.513333333333333419e+00,1.111224502571330104e-02
1.520000000000000018e+00,1.217587912834679729e-02
1.526666666666666838e+00,1.347611493898148195e-02
1.533333333333333437e+00,1.445432318609573587e-02
1.540000000000000036e+00,1.569171147843438641e-02
1.546666666666666856e+00,1.669453519188660029e-02
1.553333333333333455e+00,1.782081305738663843e-02
1.560000000000000053e+00,1.866394099250007557e-02
1.566666666666666874e+00,1.977962166412408976e-02
1.573333333333333472e+00,2.061590819871111924e-02
1.580000000000000071e+00,2.143317924475060185e-02
1.586666666666666670e+00,2.189509565246670203e-02
1.593333333333333490e+00,2.257110100921866022e-02
1.600000000000000089e+00,2.318463355852103114e-02
1.606666666666666687e+00,2.414631223793468548e-02
1.613333333333333508e+00,2.480259397079161154e-02
1.620000000000000107e+00,2.575570051016037865e-02
1.626666666666666705e+00,2.646047422659852932e-02
1.633333333333333526e+00,2.736255305330477158e-02
1.640000000000000124e+00,2.793840451712459663e-02
1.646666666666666723e+00,2.879341079568212280e-02
1.653333333333333544e+00,2.937942221937816026e-02
1.660000000000000142e+00,3.026304120191944738e-02
1.666666666666666741e+00,3.085745386665849840e-02
1.673333333333333339e+00,3.173371679100417397e-02
1.680000000000000160e+00,3.234663972492581724e-02
1.686666666666666758e+00,3.319868691796395987e-02
1.693333333333333357e+00,3.373678296204422195e-02
1.700000000000000178e+00,3.456912797996519043e-02
1.706666666666666776e+00,3.515061310459530186e-02
1.713333333333333375e+00,3.581914219939199423e-02
1.720000000000000195e+00,3.618470919762627885e-02
1.726666666666666794e+00,3.680437412187195084e-02
1.733333333333333393e+00,3.730953848639836923e-02
1.740000000000000213e+00,3.752523991882374121e-02
1.746666666666666812e+00,3.800200557173222943e-02
1.753333333333333410e+00,3.817521030058770859e-02
